wavelength_nm,Spectral_Irradiance_W_m2_nm
1018.0,0.586352
1019.0,0.566022
1020.0,0.574951
1021.0,0.577812
1022.0,0.568446
1023.0,0.573441
1024.0,0.570285
1025.0,0.576587
1026.0,0.576182
1027.0,0.574002
1028.0,0.575224
1029.0,0.569502
1030.0,0.573602
1031.0,0.571507
1032.0,0.572485
1033.0,0.56326
1034.0,0.567157
1035.0,0.569534
1036.0,0.569817
1037.0,0.564471
1038.0,0.562295
1039.0,0.566724
1040.0,0.563361
1041.0,0.563953
1042.0,0.564697
1043.0,0.559561
1044.0,0.562691
1045.0,0.560019
1046.0,0.545894
1047.0,0.55469
1048.0,0.560122
1049.0,0.557459
1050.0,0.554324
1051.0,0.555343
1052.0,0.552453
1053.0,0.551288
1054.0,0.549491
1055.0,0.551722
1056.0,0.550491
1057.0,0.549657
1058.0,0.544512
1059.0,0.528432
1060.0,0.543549
1061.0,0.531535
1062.0,0.541843
1063.0,0.533549
1064.0,0.542262
1065.0,0.540341
1066.0,0.530533
1067.0,0.533775
1068.0,0.533518
1069.0,0.505413
1070.0,0.521789
1071.0,0.532572
1072.0,0.531989
1073.0,0.522335
1074.0,0.538368
1075.0,0.513677
1076.0,0.53341
1077.0,0.524899
1078.0,0.524404
1079.0,0.526221
1080.0,0.520159
1081.0,0.506353
1082.0,0.514299
1083.0,0.522408
1084.0,0.505738
1085.0,0.519138
1086.0,0.485284
1087.0,0.497013
1088.0,0.520459
1089.0,0.50866
1090.0,0.488505
1091.0,0.517653
1092.0,0.511866
1093.0,0.450052
1094.0,0.476111
1095.0,0.459785
1096.0,0.44479
1097.0,0.511804
1098.0,0.445319
1099.0,0.449987
1100.0,0.430925
1101.0,0.441252
1102.0,0.416654
1103.0,0.414844
1104.0,0.416359
1105.0,0.451303
1106.0,0.354919
1107.0,0.43123
1108.0,0.371403
1109.0,0.369172
1110.0,0.428773
1111.0,0.297049
1112.0,0.370879
1113.0,0.241
1114.0,0.269381
1115.0,0.224681
1116.0,0.181224
1117.0,0.0717204
1118.0,0.196128
1119.0,0.102127
1120.0,0.128159
1121.0,0.168023
1122.0,0.0739127
1123.0,0.116077
1124.0,0.0985313
1125.0,0.130899
1126.0,0.0468461
1127.0,0.14292
1128.0,0.0902618
1129.0,0.0964293
1130.0,0.0643134
1131.0,0.269616
1132.0,0.21372
1133.0,0.140081
1134.0,0.0381719
1135.0,0.0141527
1136.0,0.117961
1137.0,0.26394
1138.0,0.186568
1139.0,0.274187
1140.0,0.235346
1141.0,0.177932
1142.0,0.207024
1143.0,0.287437
1144.0,0.104491
1145.0,0.134851
1146.0,0.14569
1147.0,0.0547378
1148.0,0.251014
1149.0,0.202502
1150.0,0.112811
1151.0,0.188801
1152.0,0.230047
1153.0,0.221413
1154.0,0.132598
1155.0,0.291693
1156.0,0.261871
1157.0,0.293523
1158.0,0.291097
1159.0,0.314921
1160.0,0.267997
1161.0,0.325389
1162.0,0.328003
1163.0,0.439473
1164.0,0.377249
1165.0,0.365096
1166.0,0.352565
1167.0,0.385825
1168.0,0.39518
1169.0,0.398874
1170.0,0.432834
1171.0,0.423364
1172.0,0.429888
1173.0,0.431759
1174.0,0.318987
1175.0,0.428685
1176.0,0.452181
1177.0,0.448352
1178.0,0.342
1179.0,0.459915
1180.0,0.419366
1181.0,0.433484
1182.0,0.308064
1183.0,0.418534
1184.0,0.400889
1185.0,0.389339
1186.0,0.456371
1187.0,0.43627
1188.0,0.32099
1189.0,0.398593
1190.0,0.443745
1191.0,0.428952
1192.0,0.455036
1193.0,0.437119
1194.0,0.451505
1195.0,0.43074
1196.0,0.416005
1197.0,0.460604
1198.0,0.419223
1199.0,0.352825
1200.0,0.43379
1201.0,0.423333
1202.0,0.423773
1203.0,0.421137
1204.0,0.351947
1205.0,0.424588
1206.0,0.467675
1207.0,0.41842
1208.0,0.422274
1209.0,0.403923
1210.0,0.442392
1211.0,0.412443
1212.0,0.415296
1213.0,0.459336
1214.0,0.424969
1215.0,0.419175
1216.0,0.457373
1217.0,0.446835
1218.0,0.45119
1219.0,0.439066
1220.0,0.450662
1221.0,0.45818
1222.0,0.444838
1223.0,0.437972
1224.0,0.442298
1225.0,0.456767
1226.0,0.462904
1227.0,0.4285
1228.0,0.462065
1229.0,0.463065
1230.0,0.45632
1231.0,0.468604
1232.0,0.463321
1233.0,0.451407
1234.0,0.467885
1235.0,0.463165
1236.0,0.467567
1237.0,0.462269
1238.0,0.467215
1239.0,0.462347
1240.0,0.46077
1241.0,0.462343
1242.0,0.463216
1243.0,0.458647
1244.0,0.456749
1245.0,0.458391
1246.0,0.461673
1247.0,0.460042
1248.0,0.461559
1249.0,0.462996
1250.0,0.460736
1251.0,0.456595
1252.0,0.455334
1253.0,0.452424
1254.0,0.448639
1255.0,0.456152
1256.0,0.44591
1257.0,0.441288
1258.0,0.451419
1259.0,0.433797
1260.0,0.438053
1261.0,0.418428
1262.0,0.40269
1263.0,0.407613
1264.0,0.37867
1265.0,0.403678
1266.0,0.393348
1267.0,0.396673
1268.0,0.378876
1269.0,0.252285
1270.0,0.396814
1271.0,0.418456
1272.0,0.419339
1273.0,0.417061
1274.0,0.417276
1275.0,0.423968
1276.0,0.429034
1277.0,0.432543
1278.0,0.440735
1279.0,0.437913
1280.0,0.435654
1281.0,0.427017
1282.0,0.385686
1283.0,0.421455
1284.0,0.435711
1285.0,0.439377
1286.0,0.442986
1287.0,0.43813
1288.0,0.436144
1289.0,0.425536
1290.0,0.429497
1291.0,0.435046
1292.0,0.412794
1293.0,0.430204
1294.0,0.421813
1295.0,0.42311
1296.0,0.407163
1297.0,0.388368
1298.0,0.410158
1299.0,0.427958
1300.0,0.370206
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
